"ОКУД
формы","ЦСОД/
СТАТЭК","Полное ведение (ПВ) /
Курирование",Краткое наименование,Отчетный период - за,"Дата получения каталога со статусом ""Итоговый"" в АС ГС ОФСН","Дата перевода каталога в ""Архивный"" статус","код отчётного
периода","ОКУД+Код
(формула)","Отчетная дата
(по бланку)","Период загрузки
отчетов (от)","Период загрузки
отчетов (до)","Рассылка 1
(дата)","Рассылка 2
(от)","Рассылка 2
(до)","Специалист отраслевого отдела
№ телефона, кабинет","Администратор БД от ОИРиТ
№ телефона, кабинет",Примечание
0611003,Ц,К,9-СХ,2024,не позднее 20.12.2024,"с 1-го рабочего дня 
по 12 января после отчетного периода",01012024,061100301012024,13.01.2025,09.01.2025,13.01.2025,09.01.2025,1/10/2025,1/10/2025,"Корнишина Дарья Андреевна, т. 2-30, 859, к. 519","Усова Яна Сергеевна, т. 321, к. 307",
0611004,Ц,К,Форма №1-СХ (баланс)-срочная,2024,не позднее 28.12.2024,с 1-го по 3-й рабочий день после отчетного года,01012024,061100401012024,13.01.2025,09.01.2025,13.01.2025,09.01.2025,1/10/2025,1/10/2025,"Маргамова Рамзия Рамзавиевна, т. 2-10, 857, к. 517","Усова Яна Сергеевна, т. 321, к. 307",по наличию явления; 2 рассылки
0611004,Ц,К,Форма №1-СХ (баланс)-срочная,1 квартал 2025,не позднее 28.03.2025,,04012025,061100404012025,07.04.2025,01.04.2025,07.04.2025,01.04.2025,03.04.2025,04.04.2025,"Маргамова Рамзия Рамзавиевна, т. 2-10, 857, к. 517","Усова Яна Сергеевна, т. 321, к. 307",по наличию явления; 2 рассылки
0611004,Ц,К,Форма №1-СХ (баланс)-срочная,2 квартал 2025,не позднее 27.06.2025,,04022025,061100404022025,07.07.2025,01.07.2025,07.07.2025,01.07.2025,02.07.2025,04.07.2025,"Маргамова Рамзия Рамзавиевна, т. 2-10, 857, к. 517","Усова Яна Сергеевна, т. 321, к. 307",по наличию явления; 2 рассылки
0611004,Ц,К,Форма №1-СХ (баланс)-срочная,3 квартал 2025,не позднее 26.09.2025,,04032025,061100404032025,07.10.2025,01.10.2025,07.10.2025,01.10.2025,01.10.2025,03.10.2025,"Маргамова Рамзия Рамзавиевна, т. 2-10, 857, к. 517","Усова Яна Сергеевна, т. 321, к. 307",по наличию явления; 2 рассылки
0611005,Ц,К,5-СБ,2024,#N/A,#N/A,01012024,061100501012024,30.01.2025,23.01.2025,30.01.2025,23.01.2025,27.01.2025,29.01.2025,"Карпушина Анастсасия Сергеевна, т. 2-21, 851, к. 521","Усова Яна Сергеевна, т. 321, к. 307",
0611006,С,К,3-фермер (микро),2024,не позднее 25.11.2024,с 4 по 9 января после отчетного периода,01012024,061100601012024,10.01.2025,12/23/2024,10.01.2025,23.12.2024,26.12.2024,28.12.2024,"Забровская И.А., т. 2-10, 855, к. 517","Усова Яна Сергеевна, т. 321, к. 307",
0611006,С,К,3-фермер (КФХ и ИП),2024,не позднее 25.11.2024,с 4 по 9 января после отчетного периода,01012024,061100601012024,10.01.2025,23.12.2024,10.01.2025,23.12.2024,26.12.2024,28.12.2024,"Забровская И.А., т. 2-10, 855, к. 517","Усова Яна Сергеевна, т. 321, к. 307",
0611009,Ц,К,Форма № 24-СХ,2024,не позднее 26.12.2024,"с 1-го рабочего дня по 12 января
после отчетного периода
",01012024,061100901012024,1/13/2025,09.01.2025,13.01.2025,1/10/2025,-,-,"Шаяхметова Раиса Ахуновна, т. 2-10, 853, к. 517","Усова Яна Сергеевна, т. 321, к. 307",
0611010,Ц,К,29-СХ,2025 год,не позднее 10.10.2025,с 13 октября по 21 ноября отчетного периода (10 января после отчетного периода),01012025,061101001012025,21.11.2025,13.10.2025,21.11.2025,13.10.2025,18.11.2025,20.11.2025,"Петрова Оксана Олеговна, т. 2-30, 852, к. 519","Усова Яна Сергеевна, т. 321, к. 307",
0611010,Ц,К,29-СХ,2025 год,не позднее 10.10.2025,с 13 октября по 21 ноября отчетного периода (10 января после отчетного периода),01012025,061101001012025,12.01.2026,13.10.2025,21.11.2025,1/12/2026,09.01.2026,11.01.2026,"Петрова Оксана Олеговна, т. 2-30, 852, к. 519","Усова Яна Сергеевна, т. 321, к. 307",
0611012,С,К,Форма № П-1 (СХ),январь 2025,не позднее 29.01.2025,,12012025,061101212012025,05.02.2025,03.02.2025,05.02.2025,03.02.2025,04.02.2025,04.02.2025,"Рукавишникова Екатерина Ивановна, т. 2-10, 854, к. 517","Усова Яна Сергеевна, т. 321, к. 307",
0611012,С,К,Форма № П-1 (СХ),февраль 2025,не позднее 27.02.2025,,12022025,061101212022025,05.03.2025,03.03.2025,05.03.2025,03.03.2025,04.03.2025,04.03.2025,"Рукавишникова Екатерина Ивановна, т. 2-10, 854, к. 517","Усова Яна Сергеевна, т. 321, к. 307",
0611012,С,К,Форма № П-1 (СХ),март 2025,не позднее 28.03.2025,,12032025,061101212032025,03.04.2025,01.04.2025,03.04.2025,01.04.2025,4/2/2025,02.04.2025,"Рукавишникова Екатерина Ивановна, т. 2-10, 854, к. 517","Усова Яна Сергеевна, т. 321, к. 307",
0611012,С,К,Форма № П-1 (СХ),апрель 2025,не позднее 29.04.2025,,12042025,061101212042025,07.05.2025,05.05.2025,07.05.2025,05.05.2025,06.05.2025,06.05.2025,"Рукавишникова Екатерина Ивановна, т. 2-10, 854, к. 517","Усова Яна Сергеевна, т. 321, к. 307",
0611012,С,К,Форма № П-1 (СХ),май 2025,не позднее 29.05.2025,,12052025,061101212052025,04.06.2025,02.06.2025,04.06.2025,02.06.2025,03.06.2025,03.06.2025,"Рукавишникова Екатерина Ивановна, т. 2-10, 854, к. 517","Усова Яна Сергеевна, т. 321, к. 307",
0611012,С,К,Форма № П-1 (СХ),июнь 2025,не позднее 27.06.2025,,12062025,061101212062025,03.07.2025,01.07.2025,03.07.2025,01.07.2025,'02.07.2025,02.07.2025,"Рукавишникова Екатерина Ивановна, т. 2-10, 854, к. 517","Усова Яна Сергеевна, т. 321, к. 307",
0611012,С,К,Форма № П-1 (СХ),июль 2025,не позднее 29.07.2025,,12072025,061101212072025,05.08.2025,01.08.2025,05.08.2025,01.08.2025,30.07.2025,01.08.2025,"Рукавишникова Екатерина Ивановна, т. 2-10, 854, к. 517","Усова Яна Сергеевна, т. 321, к. 307",
0611012,С,К,Форма № П-1 (СХ),август 2025,не позднее 29.08.2025,,12082025,061101212082025,03.09.2025,01.09.2025,03.09.2025,01.09.2025,27.08.2025,29.08.2025,"Рукавишникова Екатерина Ивановна, т. 2-10, 854, к. 517","Усова Яна Сергеевна, т. 321, к. 307",
0611012,С,К,Форма № П-1 (СХ),сентябрь 2025,не позднее 29.09.2025,,12092025,061101212092025,03.10.2025,01.10.2025,03.10.2025,01.10.2025,30.09.2025,02.10.2025,"Рукавишникова Екатерина Ивановна, т. 2-10, 854, к. 517","Усова Яна Сергеевна, т. 321, к. 307",
0611012,С,К,Форма № П-1 (СХ),октябрь 2025,не позднее 28.10.2025,,12102025,061101212102025,06.11.2025,01.11.2025,06.11.2025,01.11.2025,30.10.2025,01.11.2025,"Рукавишникова Екатерина Ивановна, т. 2-10, 854, к. 517","Усова Яна Сергеевна, т. 321, к. 307",
0611012,С,К,Форма № П-1 (СХ),ноябрь 2025,не позднее 27.11.2025,,12112025,061101212112025,03.12.2025,01.12.2025,03.12.2025,01.12.2025,26.11.2025,28.11.2025,"Рукавишникова Екатерина Ивановна, т. 2-10, 854, к. 517","Усова Яна Сергеевна, т. 321, к. 307",
0611012,С,К,Форма № П-1 (СХ),декабрь 2025,не позднее 29.12.2025,,12122025,061101212122025,13.01.2026,09.01.2026,13.01.2026,09.01.2026,10.01.2026,12.01.2026,"Рукавишникова Екатерина Ивановна, т. 2-10, 854, к. 517","Усова Яна Сергеевна, т. 321, к. 307",
0611014,Ц,К,10-МЕХ,2024,не позднее 20.12.2024,"с 1-го рабочего дня 
по 20 января после отчетного периода",01012024,061101401012024,20.01.2025,09.01.2025,20.01.2025,09.01.2025,15.01.2025,17.01.2025,"Корнишина Дарья Андреевна, т. 2-30, 859, к. 519","Усова Яна Сергеевна, т. 321, к. 307",
0611015,Ц,К,4-СХ,2025 год,не позднее 25.04.2025,с 30 апреля по 15 июня отчетного периода,01012025,061101501012025,16.06.2025,30.04.2025,16.06.2025,30.04.2025,09.06.2025,11.06.2025,"Петрова Оксана Олеговна, т. 2-30, 852, к. 519","Усова Яна Сергеевна, т. 321, к. 307",
0611016,С,К,3-фермер (МП),январь 2025,не позднее 29.01.2025,,12012025,061101612012025,03.02.2025,03.02.2025,04.02.2025,03.02.2025,-,-,"Забровская И.А., т. 2-10, 855, к. 517","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0611016,С,К,3-фермер (МП),февраль 2025,#N/A,#N/A,12022025,061101612022025,03.03.2025,03.03.2025,04.03.2025,3/3/2025,,,"Забровская И.А., т. 2-10, 855, к. 517","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0611016,С,К,3-фермер (МП),март 2025,#N/A,#N/A,12032025,061101612032025,02.04.2025,01.04.2025,02.04.2025,01.04.2025,26.03.2025,28.03.2025,"Забровская И.А., т. 2-10, 855, к. 517","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0611016,С,К,3-фермер (МП),апрель 2025,#N/A,#N/A,12042025,061101612042025,05.05.2025,05.05.2025,06.05.2025,05.05.2025,28.04.2025,30.04.2025,"Забровская И.А., т. 2-10, 855, к. 517","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0611016,С,К,3-фермер (МП),май 2025,#N/A,#N/A,12052025,061101612052025,02.06.2025,02.06.2025,03.06.2025,02.06.2025,28.05.2025,30.05.2025,"Забровская И.А., т. 2-10, 855, к. 517","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0611016,С,К,3-фермер (МП),июнь 2025,#N/A,#N/A,12062025,061101612062025, ,01.07.2025,02.07.2025,01.07.2025,25.06.2025,27.06.2025,"Забровская И.А., т. 2-10, 855, к. 517","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0611016,С,К,3-фермер (МП),июль 2025,#N/A,#N/A,12072025,061101612072025,04.08.2025,01.08.2025,04.08.2025,01.08.2025,30.07.2025,01.08.2025,"Забровская И.А., т. 2-10, 855, к. 517","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0611016,С,К,3-фермер (МП),август 2025,#N/A,#N/A,12082025,061101612082025,02.09.2025,01.09.2025,02.09.2025,01.09.2025,27.08.2025,29.08.2025,"Забровская И.А., т. 2-10, 855, к. 517","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0611016,С,К,3-фермер (МП),сентябрь 2025,#N/A,#N/A,12092025,061101612092025,02.10.2025,01.10.2025,02.10.2025,01.10.2025,29.09.2025,01.10.2025,"Забровская И.А., т. 2-10, 855, к. 517","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0611016,С,К,3-фермер (МП),октябрь 2025,#N/A,#N/A,12102025,061101612102025,05.11.2025,01.11.2025,05.11.2025,10/31/2025,30.10.2025,01.11.2025,"Забровская И.А., т. 2-10, 855, к. 517","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0611016,С,К,3-фермер (МП),ноябрь 2025,#N/A,#N/A,12112025,061101612112025,02.12.2025,01.12.2025,02.12.2025,01.12.2025,26.11.2025,28.11.2025,"Забровская И.А., т. 2-10, 855, к. 517","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0611016,С,К,3-фермер (МП),декабрь 2025,#N/A,#N/A,12122025,061101612122025,09.01.2026,09.01.2026,13.01.2026,09.01.2026,06.01.2026,08.01.2026,"Забровская И.А., т. 2-10, 855, к. 517","Усова Яна Сергеевна, т. 321, к. 307",выборочная форма
0611020,Ц,К,4-кооператив,2024,не позднее 25.12.2024,с 1-го рабочего дня по 25-е января после отчетного периода,01012024,061102001012024,25.01.2025,09.01.2025,27.01.2025,09.01.2025,22.01.2025,24.01.2025,"Карпова Т.Н., т. 856, 2-10, к. 517","Усова Яна Сергеевна, т. 321, к. 307",
0611021,Ц,К,Форма № 21-СХ,2024,не позднее 26.12.2024,"с 11 по 15 января
после отчетного периода
",01012024,061102101012024,15.01.2025,13.01.2025,15.01.2025,1/10/2025,13.01.2025,14.01.2025,"Рукавишникова Екатерина Ивановна, т. 2-10, 854, к. 517","Усова Яна Сергеевна, т. 321, к. 307",
0611022,Ц,К,Приложение к форме № 21-СХ,2024,не позднее 26.12.2024,"с 11 по 15 января 
после отчетного периода
",01012024,061102201012024,15.01.2025,13.01.2025,15.01.2025,1/10/2025,13.01.2025,14.01.2025,"Рукавишникова Екатерина Ивановна, т. 2-10, 854, к. 517","Усова Яна Сергеевна, т. 321, к. 307",по наличия явления; 2 рассылки
0611026,С,К,Приложение к форме №14,2024,не позднее 22.12.2024,"с 15 по 20 января
после отчетного периода
",01012024,061102601012024,20.01.2025,10.01.2025,20.01.2025,10.01.2025,15.01.2025,17.01.2025,"Забровская И.А., т. 2-10, 855, к. 517","Усова Яна Сергеевна, т. 321, к. 307",
0612001,С,ПВ,форма № ДАС,1 квартал 2025,не позднее 29.01.2025,,04012025,061200104012025,10.02.2025,03.02.2025,19.02.2025,03.02.2025,05.02.2025,07.02.2025,"Дербеденева Елена Васильевна, т. 816, к. 436","Фаттахова Гульшат Гадынановна, т. 318, к. 307",выборочная форма
0612001,С,ПВ,форма № ДАС,2 квартал 2025,#N/A,#N/A,04022025,061200104022025,12.05.2025,01.05.2025,22.05.2025,01.05.2025,05.05.2025,07.05.2025,"Дербеденева Елена Васильевна, т. 816, к. 436","Фаттахова Гульшат Гадынановна, т. 318, к. 307",выборочная форма
0612001,С,ПВ,форма № ДАС,3 квартал 2025,#N/A,#N/A,04032025,061200104032025,11.08.2025,01.08.2025,19.08.2025,01.08.2025,06.08.2025,08.08.2025,"Дербеденева Елена Васильевна, т. 816, к. 436","Фаттахова Гульшат Гадынановна, т. 318, к. 307",выборочная форма
0612001,С,ПВ,форма № ДАС,4 квартал 2025,#N/A,#N/A,04042025,061200104042025,10.11.2025,01.11.2025,20.11.2025,01.11.2025,05.11.2025,07.11.2025,"Дербеденева Елена Васильевна, т. 816, к. 436","Фаттахова Гульшат Гадынановна, т. 318, к. 307",выборочная форма
0612003,Ц,К,ИЖС,январь 2025,не позднее 30.01.2025,,12012025,061200312012025,06.02.2025,31.01.2025,11.02.2025,-,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; нет рассылок
0612003,Ц,К,ИЖС,февраль 2025,не позднее 27.02.2025,,12022025,061200312022025,06.03.2025,28.02.2025,11.03.2025,-,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; нет рассылок
0612003,Ц,К,ИЖС,март 2025,не позднее 28.03.2025,,12032025,061200312032025,07.04.2025,31.03.2025,09.04.2025,-,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; нет рассылок
0612003,Ц,К,ИЖС,апрель 2025,не позднее 29.04.2025,,12042025,061200312042025,06.05.2025,30.04.2025,15.05.2025,-,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; нет рассылок
0612003,Ц,К,ИЖС,май 2025,не позднее 29.05.2025,,12052025,061200312052025,06.06.2025,30.05.2025,10.06.2025,-,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; нет рассылок
0612003,Ц,К,ИЖС,июнь 2025,не позднее 27.06.2025,,12062025,061200312062025,07.07.2025,30.06.2025,09.07.2025,-,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; нет рассылок
0612003,Ц,К,ИЖС,июль 2025,не позднее 30.07.2025,,12072025,061200312072025,06.08.2025,31.07.2025,11.08.2025,-,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; нет рассылок
0612003,Ц,К,ИЖС,август 2025,не позднее 28.08.2025,,12082025,061200312082025,08.09.2025,29.08.2025,09.09.2025,-,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; нет рассылок
0612003,Ц,К,ИЖС,сентябрь 2025,не позднее 29.09.2025,,12092025,061200312092025,06.10.2025,30.09.2025,09.10.2025,-,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; нет рассылок
0612003,Ц,К,ИЖС,октябрь 2025,не позднее 30.10.2025,,12102025,061200312102025,06.11.2025,31.10.2025,12.11.2025,-,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; нет рассылок
0612003,Ц,К,ИЖС,ноябрь 2025,не позднее 27.11.2025,,12112025,061200312112025,08.12.2025,28.11.2025,09.12.2025,-,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; нет рассылок
0612003,Ц,К,ИЖС,декабрь 2025,не позднее 26.12.2025,,12122025,061200312122025,12.01.2026,30.12.2025,16.01.2026,-,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; нет рассылок
0612007,Ц,ПВ,форма № 12 строительство,2024,не позднее 25.12.2024,с 1-го рабочего дня января по 25 января после отчетного периода,01012024,061200701012024,27.01.2025,09.01.2025,24.02.2025,09.01.2025,-,-,"Дербеденева Елена Васильевна, т. 816, к. 436",,по наличию явления;1 рассылка
0612008,Ц,К,С-1,январь 2025,не позднее 31.01.2025,,12012025,061200812012025,03.02.2025,03.02.2025,11.02.2025,-,-,-,"Фунтусова Светлана Валентиновна, т. 371-03-28(доб.809), к. 430",,по наличию явления; нет рассылок
0612008,Ц,К,С-1,февраль 2025,не позднее 28.02.2025,,12022025,061200812022025,03.03.2025,03.03.2025,11.03.2025,-,-,-,"Фунтусова Светлана Валентиновна, т. 371-03-28(доб.809), к. 430",,по наличию явления; нет рассылок
0612008,Ц,К,С-1,март 2025,не позднее 01.04.2025,,12032025,061200812032025,03.04.2025,01.04.2025,09.04.2025,-,-,-,"Фунтусова Светлана Валентиновна, т. 371-03-28(доб.809), к. 430",,по наличию явления; нет рассылок
0612008,Ц,К,С-1,апрель 2025,не позднее 30.04.2025,,12042025,061200812042025,05.05.2025,05.05.2025,15.05.2025,-,-,-,"Фунтусова Светлана Валентиновна, т. 371-03-28(доб.809), к. 430",,по наличию явления; нет рассылок
0612008,Ц,К,С-1,май 2025,не позднее 02.06.2025,,12052025,061200812052025,03.06.2025,02.06.2025,10.06.2025,-,-,-,"Фунтусова Светлана Валентиновна, т. 371-03-28(доб.809), к. 430",,по наличию явления; нет рассылок
0612008,Ц,К,С-1,июнь 2025,не позднее 01.07.2025,,12062025,061200812062025,03.07.2025,01.07.2025,09.07.2025,-,-,-,"Фунтусова Светлана Валентиновна, т. 371-03-28(доб.809), к. 430",,по наличию явления; нет рассылок
0612008,Ц,К,С-1,июль 2025,не позднее 01.08.2025,,12072025,061200812072025,04.08.2025,01.08.2025,11.08.2025,-,-,-,"Фунтусова Светлана Валентиновна, т. 371-03-28(доб.809), к. 430",,по наличию явления; нет рассылок
0612008,Ц,К,С-1,август 2025,не позднее 01.09.2025,,12082025,061200812082025,03.09.2025,01.09.2025,09.09.2025,-,-,-,"Фунтусова Светлана Валентиновна, т. 371-03-28(доб.809), к. 430",,по наличию явления; нет рассылок
0612008,Ц,К,С-1,сентябрь 2025,не позднее 01.10.2025,,12092025,061200812092025,03.10.2025,01.10.2025,09.10.2025,-,-,-,"Фунтусова Светлана Валентиновна, т. 371-03-28(доб.809), к. 430",,по наличию явления; нет рассылок
0612008,Ц,К,С-1,октябрь 2025,не позднее 01.11.2025,,12102025,061200812102025,05.11.2025,01.11.2025,12.11.2025,-,-,-,"Фунтусова Светлана Валентиновна, т. 371-03-28(доб.809), к. 430",,по наличию явления; нет рассылок
0612008,Ц,К,С-1,ноябрь 2025,не позднее 01.12.2025,,12112025,061200812112025,03.12.2025,01.12.2025,09.12.2025,-,-,-,"Фунтусова Светлана Валентиновна, т. 371-03-28(доб.809), к. 430",,по наличию явления; нет рассылок
0612008,Ц,К,С-1,декабрь 2025,Первый рабочий день 2026 г.,,12122025,061200812122025,12.01.2026,08.01.2026,16.01.2026,-,-,-,"Фунтусова Светлана Валентиновна, т. 371-03-28(доб.809), к. 430",,по наличию явления; нет рассылок
0612010,С,ПВ,1-разрешение,январь 2025,не позднее 29.01.2025,,12012025,061201012012025,03.02.2025,30.01.2025,11.02.2025,30.01.2025,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0612010,С,ПВ,1-разрешение,февраль 2025,не позднее 27.02.2025,,12022025,061201012022025,03.03.2025,28.02.2025,11.03.2025,28.02.2025,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0612010,С,ПВ,1-разрешение,март 2025,не позднее 28.03.2025,,12032025,061201012032025,01.04.2025,31.03.2025,09.04.2025,31.03.2025,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0612010,С,ПВ,1-разрешение,апрель 2025,не позднее 29.04.2025,,12042025,061201012042025,05.05.2025,30.04.2025,15.05.2025,30.04.2025,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0612010,С,ПВ,1-разрешение,май 2025,не позднее 29.05.2025,,12052025,061201012052025,02.06.2025,30.05.2025,10.06.2025,30.05.2025,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0612010,С,ПВ,1-разрешение,июнь 2025,не позднее 27.06.2025,,12062025,061201012062025,01.07.2025,30.06.2025,09.07.2025,30.06.2025,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0612010,С,ПВ,1-разрешение,июль 2025,не позднее 30.07.2025,,12072025,061201012072025,01.08.2025,31.07.2025,11.08.2025,31.07.2025,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0612010,С,ПВ,1-разрешение,август 2025,не позднее 28.08.2025,,12082025,061201012082025,01.09.2025,29.08.2025,09.09.2025,29.08.2025,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0612010,С,ПВ,1-разрешение,сентябрь 2025,не позднее 29.09.2025,,12092025,061201012092025,01.10.2025,30.09.2025,09.10.2025,30.09.2025,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0612010,С,ПВ,1-разрешение,октябрь 2025,не позднее 30.10.2025,,12102025,061201012102025,01.11.2025,31.10.2025,12.11.2025,31.10.2025,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0612010,С,ПВ,1-разрешение,ноябрь 2025,не позднее 27.11.2025,,12112025,061201012112025,01.12.2025,28.11.2025,09.12.2025,28.11.2025,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0612010,С,ПВ,1-разрешение,декабрь 2025,не позднее 26.12.2025,,12122025,061201012122025,11.01.2026,29.12.2025,16.01.2026,29.12.2025,-,-,"Черемных Алексей Генрихович, т. 2-53, к. 430","Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 1 рассылка
0613001,Ц,К,1-лицензия,2024,не позднее 28.12.2024,"с 15 февраля по 2 марта
после отчетного периода
",01012024,061300101012024,02.03.2025,17.02.2025,24.03.2025,17.02.2025,26.02.2025,28.02.2025,"Салихова Ольга Вадимовна, т. 612, к. 509","Рублёва Наталья Адольфовна, т. 322, к. 307",по наличию явления; 2 рассылки
0613043,Ц,К,8-ВЭС(бункер),январь 2025,не позднее 27.01.2025,,12012025,061304312012025,05.02.2025,31.01.2025,10.02.2025,31.01.2025,03.02.2025,31.01.2025,"Скоробогатых Татьяна Викторовна, т. 624, к. 509","Горячева Светлана Сергеевна, т. 303, к. 307",
0613043,Ц,К,8-ВЭС(бункер),февраль 2025,не позднее 24.02.2025,,12022025,061304312022025,05.03.2025,28.02.2025,10.03.2025,28.02.2025,26.02.2025,28.02.2025,"Скоробогатых Татьяна Викторовна, т. 624, к. 509","Горячева Светлана Сергеевна, т. 303, к. 307",
0613043,Ц,К,8-ВЭС(бункер),март 2025,не позднее 28.03.2025,,12032025,061304312032025,05.04.2025,28.03.2025,08.04.2025,28.03.2025,02.04.2025,04.04.2025,"Скоробогатых Татьяна Викторовна, т. 624, к. 509","Горячева Светлана Сергеевна, т. 303, к. 307",
0613043,Ц,К,8-ВЭС(бункер),апрель 2025,не позднее 29.04.2025,,12042025,061304312042025,05.05.2025,30.04.2025,14.05.2025,30.04.2025,30.04.2025,30.04.2025,"Скоробогатых Татьяна Викторовна, т. 624, к. 509","Горячева Светлана Сергеевна, т. 303, к. 307",
0613043,Ц,К,8-ВЭС(бункер),май 2025,не позднее 28.05.2025,,12052025,061304312052025,05.06.2025,30.05.2025,09.06.2025,30.05.2025,02.06.2025,04.06.2025,"Скоробогатых Татьяна Викторовна, т. 624, к. 509","Горячева Светлана Сергеевна, т. 303, к. 307",
0613043,Ц,К,8-ВЭС(бункер),июнь 2025,не позднее 30.06.2025,,12062025,061304312062025,05.07.2025,30.06.2025,08.07.2025,30.06.2025,02.07.2025,04.07.2025,"Скоробогатых Татьяна Викторовна, т. 624, к. 509","Горячева Светлана Сергеевна, т. 303, к. 307",
0613043,Ц,К,8-ВЭС(бункер),июль 2025,не позднее 30.07.2025,,12072025,061304312072025,05.08.2025,31.07.2025,08.08.2025,31.07.2025,30.07.2025,01.08.2025,"Скоробогатых Татьяна Викторовна, т. 624, к. 509","Горячева Светлана Сергеевна, т. 303, к. 307",
0613043,Ц,К,8-ВЭС(бункер),август 2025,не позднее 29.08.2025,,12082025,061304312082025,05.09.2025,29.08.2025,08.09.2025,29.08.2025,02.09.2025,04.09.2025,"Скоробогатых Татьяна Викторовна, т. 624, к. 509","Горячева Светлана Сергеевна, т. 303, к. 307",
0613043,Ц,К,8-ВЭС(бункер),сентябрь 2025,не позднее 30.09.2025,,12092025,061304312092025,05.10.2025,30.09.2025,08.10.2024,30.09.2025,01.10.2025,03.10.2025,"Скоробогатых Татьяна Викторовна, т. 624, к. 509","Горячева Светлана Сергеевна, т. 303, к. 307",
0613043,Ц,К,8-ВЭС(бункер),октябрь 2025,не позднее 29.10.2025,,12102025,061304312102025,05.11.2025,31.10.2025,11.11.2024,31.10.2025,30.10.2025,01.11.2025,"Скоробогатых Татьяна Викторовна, т. 624, к. 509","Горячева Светлана Сергеевна, т. 303, к. 307",
